date,gross_value,net_value,benchmark_value
2008-01-03,62582.21428453934,53585.82997254868,266188.75
2008-01-04,63419.89270802756,54303.08956596326,262625.78
2008-01-07,65701.21909658733,56256.46832327983,253178.64
2008-01-08,68828.0381746765,58877.54114713535,265227.78
2008-01-09,69357.47218705258,59271.55713128755,263187.62
2008-01-10,71434.08398230845,61046.18949288897,255307.61
2008-01-11,68914.93289741968,58893.37159537911,264311.16
2008-01-14,72669.41237187872,62101.877292767924,249911.5
2008-01-15,68628.3867388955,58586.39290135471,236014.34
2008-01-16,68091.03366003052,58069.08118936766,237862.3
2008-01-17,68289.9555436184,58180.6557512177,238557.2
2008-01-18,65869.1768315881,56118.236881951474,230100.67
2008-01-22,58856.48481060486,50143.668336486015,205603.27
2008-01-23,57387.91797288594,48892.50070937569,200473.12
2008-01-24,55022.165120669975,46876.96194980915,192208.84
2008-01-25,55022.165120669975,46876.96194980915,192208.84
2008-01-28,55669.696768110036,47428.63628562952,194470.86
2008-01-29,55940.536325053006,47659.38212373813,195416.98
2008-01-30,57286.3723575178,48805.987393563,200118.4
2008-01-31,56604.97309925542,48225.45903681547,197738.08
2008-02-01,55716.25997796567,47468.30651328918,194633.53
2008-02-04,54747.072264289076,46642.59244920971,191247.88
2008-02-05,51632.22560972354,43988.85194689883,180366.78
